词语,建议,理由,美术,建议组别,出现场景,出现句,owner裁定,备注
双层巴士,入库 + sprite,具象名词，美术已交付,已画,交通,交通,交通#8,,
脚踏车,入库 + sprite,具象名词，美术已交付,已画,交通,交通,交通#10,,
飞机,入库 + sprite,具象名词，美术已交付,已画,交通,交通,交通#6,,
水母,入库 + sprite,具象名词，§6.2 已排定绘制,§6.2 已排定,动物,水族馆,水族馆#2,,
海龟,入库 + sprite,具象名词，§6.2 已排定绘制,§6.2 已排定,动物,水族馆,水族馆#3,,
热带鱼,入库 + sprite,具象名词，§6.2 已排定绘制,§6.2 已排定,动物,水族馆,水族馆#8,,
龙虾,入库 + sprite,具象名词，§6.2 已排定绘制,§6.2 已排定,动物,水族馆,水族馆#4,,
健身角落,入库 + sprite,具象名词，美术已交付,已画,地点,组屋区,组屋区#7,,
公园,入库 + sprite,具象名词，美术已交付,已画,地点,交通,交通#10,,
农场,入库 + sprite,具象名词，美术已交付,已画,地点,农场,农场#1,,
动物园,入库 + sprite,具象名词，美术已交付,已画,地点,动物园,动物园#4 动物园#10,,
楼梯,入库 + sprite,具象名词，美术已交付,已画,地点,组屋区,组屋区#3,,
民众俱乐部,入库 + sprite,具象名词，美术已交付,已画,地点,组屋区,组屋区#8,,
海洋馆,入库 + sprite,具象名词，§6.2 已排定绘制,§6.2 已排定,地点,水族馆,水族馆#1 水族馆#5,,
游乐场,入库 + sprite,具象名词，美术已交付,已画,地点,组屋区,组屋区#5,,
游泳池,入库 + sprite,具象名词，美术已交付,已画,地点,交通,交通#3,,
电梯,入库 + sprite,具象名词，美术已交付,已画,地点,组屋区,组屋区#3,,
组屋,入库 + sprite,具象名词，美术已交付,已画,地点,组屋区,组屋区#1 组屋区#9,,
超级市场,入库 + sprite,具象名词，美术已交付,已画,地点,菜市场,菜市场#6,,
食阁,入库 + sprite,具象名词，美术已交付,已画,地点,购物商场,购物商场#9,,
荧光笔,入库 + sprite,具象名词，美术已交付,已画,学校,购物商场,购物商场#8,,
手提包,入库 + sprite,具象名词，美术已交付,已画,日常用品,购物商场,购物商场#6,,
收据,入库 + sprite,具象名词，美术已交付,已画,日常用品,便利店,便利店#10,,
碗盘,入库 + sprite,具象名词，美术已交付,已画,日常用品,熟食中心,熟食中心#10,,
纸巾,入库 + sprite,具象名词，美术已交付,已画,日常用品,熟食中心,熟食中心#9,,
大白菜,入库 + sprite,具象名词，美术已交付,已画,食物,菜市场,菜市场#9,,
美禄冰,入库 + sprite,具象名词，美术已交付,已画,食物,熟食中心,熟食中心#6,,
豆干,入库 + sprite,具象名词，美术已交付,已画,食物,菜市场,菜市场#10,,
辣椒,入库 + sprite,具象名词，美术已交付,已画,食物,菜市场,菜市场#7,,
香料,入库 + sprite,具象名词，美术已交付,已画,食物,菜市场,菜市场#8,,
摊位,入库 + sprite（需新美术）,具象名词，但尚未排定绘制,未画,地点,菜市场,菜市场#8,,
菜市场,入库 + sprite（需新美术）,具象名词，但尚未排定绘制,未画,地点,菜市场,菜市场#6,,
竹子,入库 + sprite（需新美术）,具象名词，但尚未排定绘制,未画,天气与自然,动物园,动物园#7,,
平板电脑,入库 + sprite（需新美术）,具象名词，但尚未排定绘制,未画,学校,学校,学校#8,,
动物,tile-only,上位词，画不出「动物」本身——任何一张图都会被读成那一种动物,未画,,动物园,动物园#9,,
测验,tile-only,抽象（一场考试），无法图像化,未画,,学校,学校#9,,
素食摊,tile-only,与「摊位」剪影几乎相同，靠图分不出素食；语句里已有上下文,未画,,熟食中心,熟食中心#5,,
组屋区,tile-only,抽象集合体；具体的「组屋」已单独入库，两者同图会互相干扰,未画,,组屋区,组屋区#10,,
转换站,tile-only,与「车站」剪影相同，差别是功能不是外形,未画,,交通,交通#9,,
邻居,tile-only,人际关系而非实物，画出来只会是「一个人」,未画,,组屋区,组屋区#4,,
