词语,建议,理由,美术,建议组别,出现场景,出现句,owner裁定,备注
双层巴士,入库 + sprite,具象名词，美术已交付,已画,交通,交通,交通#8,接受,
脚踏车,入库 + sprite,具象名词，美术已交付,已画,交通,交通,交通#10,接受,
飞机,入库 + sprite,具象名词，美术已交付,已画,交通,交通,交通#6,接受,
水母,入库 + sprite,具象名词，§6.2 已排定绘制,已画,动物,水族馆,水族馆#2,接受,⚠️美术栏更正：水族馆 sheet 已交付，非「已排定」。
海龟,入库 + sprite,具象名词，§6.2 已排定绘制,已画,动物,水族馆,水族馆#3,接受,⚠️美术栏更正：水族馆 sheet 已交付，非「已排定」。
热带鱼,入库 + sprite,具象名词，§6.2 已排定绘制,已画,动物,水族馆,水族馆#8,接受,⚠️美术栏更正：水族馆 sheet 已交付，非「已排定」。
龙虾,入库 + sprite,具象名词，§6.2 已排定绘制,已画,动物,水族馆,水族馆#4,接受,⚠️美术栏更正：水族馆 sheet 已交付，非「已排定」。
健身角落,入库 + sprite,具象名词，美术已交付,已画,地点,组屋区,组屋区#7,接受,
公园,入库 + sprite,具象名词，美术已交付,已画,地点,交通,交通#10,接受,
农场,入库 + sprite,具象名词，美术已交付,已画,地点,农场,农场#1,接受,场景名可同时是词条，见 PATCH_01 §2。
动物园,入库 + sprite,具象名词，美术已交付,已画,地点,动物园,动物园#4 动物园#10,接受,⚠️含商标/字样的旧版不得导入；只用图像招牌重出版（动物剪影）。场景名可同时是词条，见 PATCH_01 §2。
楼梯,入库 + sprite,具象名词，美术已交付,已画,地点,组屋区,组屋区#3,接受,
民众俱乐部,入库 + sprite,具象名词，美术已交付,已画,地点,组屋区,组屋区#8,接受,
海洋馆,入库 + sprite,具象名词，§6.2 已排定绘制,已画,地点,水族馆,水族馆#1 水族馆#5,接受,⚠️美术栏更正：水族馆 sheet 已交付，非「已排定」。
游乐场,入库 + sprite,具象名词，美术已交付,已画,地点,组屋区,组屋区#5,接受,
游泳池,入库 + sprite,具象名词，美术已交付,已画,地点,交通,交通#3,接受,
电梯,入库 + sprite,具象名词，美术已交付,已画,地点,组屋区,组屋区#3,接受,
组屋,入库 + sprite,具象名词，美术已交付,已画,地点,组屋区,组屋区#1 组屋区#9,接受,
超级市场,入库 + sprite,具象名词，美术已交付,已画,地点,菜市场,菜市场#6,接受,⚠️含 FairPrice 商标的旧版不得导入；只用图像招牌重出版（苹果·胡萝卜·面包）。
食阁,入库 + sprite,具象名词，美术已交付,已画,地点,购物商场,购物商场#9,接受,场景名可同时是词条，见 PATCH_01 §2。
荧光笔,入库 + sprite,具象名词，美术已交付,已画,学校,购物商场,购物商场#8,接受,
手提包,入库 + sprite,具象名词，美术已交付,已画,日常用品,购物商场,购物商场#6,接受,
收据,入库 + sprite,具象名词，美术已交付,已画,日常用品,便利店,便利店#10,接受,
碗盘,入库 + sprite,具象名词，美术已交付,已画,日常用品,熟食中心,熟食中心#10,接受,
纸巾,入库 + sprite,具象名词，美术已交付,已画,日常用品,熟食中心,熟食中心#9,接受,
大白菜,入库 + sprite,具象名词，美术已交付,已画,食物,菜市场,菜市场#9,接受,
美禄冰,入库 + sprite,具象名词，美术已交付,已画,食物,熟食中心,熟食中心#6,接受,
豆干,入库 + sprite,具象名词，美术已交付,已画,食物,菜市场,菜市场#10,接受,
辣椒,入库 + sprite,具象名词，美术已交付,已画,食物,菜市场,菜市场#7,接受,
香料,入库 + sprite,具象名词，美术已交付,已画,食物,菜市场,菜市场#8,接受,
摊位,入库 + sprite（需新美术）,具象名词，但尚未排定绘制,未画,地点,菜市场,菜市场#8,接受,提示词已发出（与 菜市场、平板电脑 同一张 sheet）。
菜市场,入库 + sprite（需新美术）,具象名词，但尚未排定绘制,未画,地点,菜市场,菜市场#6,接受,⚠️§8-2：须刻意画成开放式大厅+锌铁雨篷+吊灯泡+蔬果箱；不要玻璃门、不要购物车，以区别于 超级市场 与 食阁。若仍混淆，再将三者列入互斥干扰名单。提示词已发出。
竹子,入库 + sprite（需新美术）,具象名词，但尚未排定绘制,已画,天气与自然,动物园,动物园#7,接受,⚠️美术栏更正：已随 草 一同画好，非「未画」。
平板电脑,入库 + sprite（需新美术）,具象名词，但尚未排定绘制,未画,学校,学校,学校#8,接受,提示词已发出。含「电脑」，构词法对照有价值。
动物,tile-only,上位词，画不出「动物」本身——任何一张图都会被读成那一种动物,未画,,动物园,动物园#9,接受,背书。上位词画不出来：任何候选图都是某一种动物的图，只能靠错误答案来教。
测验,tile-only,抽象（一场考试），无法图像化,未画,,学校,学校#9,接受,背书。抽象，且与 考试 语义重叠。
素食摊,tile-only,与「摊位」剪影几乎相同，靠图分不出素食；语句里已有上下文,未画,,熟食中心,熟食中心#5,接受,背书。文化注解价值高，但不公平的题目比缺一个词条更糟。该句词卡仍可用 摊位 sprite 作插图，教学内容不丢。
组屋区,tile-only,抽象集合体；具体的「组屋」已单独入库，两者同图会互相干扰,未画,,组屋区,组屋区#10,接受,背书。与具象的 组屋 会互相干扰。
转换站,tile-only,与「车站」剪影相同，差别是功能不是外形,未画,,交通,交通#9,接受,背书。差别在功能不在外形。
邻居,tile-only,人际关系而非实物，画出来只会是「一个人」,未画,,组屋区,组屋区#4,接受,背书。关系而非实物。
草,入库 + sprite,具象名词，美术已随 竹子 一同交付,已画,天气与自然,农场,农场#4,新增 · 入库,⚠️未被抽取为目标词，但 sprite 已存在。入库为零成本；不入库则该图作废。建议入库。
整鸡,入库 + sprite,市场所见的去毛整鸡，美术已交付,已画,食物,菜市场,菜市场#4,⚠️待 owner 裁定,⚠️三选一：(a) 新增 整鸡 为 食物 组词条，动物组的 鸡 维持活鸡不动【建议】；(b) 鸡 一词挂两张图；(c) 生鸡图作废。选 (a) 则 菜市场#4 的目标词由 鸡 改为 整鸡，干扰项也随之由动物变为食材。
